Vuln_ID,Title,Description,Affected_Product,CVSS_Score,Exploit_Available,Date_Published,Patch_Status,Exploit_Type,Source_File
CVE-2025-30100,Exploit Variant 0,This is a simulated description of vulnerability number 0.,Product_Z5,5.3,Yes,2024-04-15,Not Available,XSS,521100.py
CVE-2025-30101,Exploit Variant 1,This is a simulated description of vulnerability number 1.,Product_Y4,7.9,Yes,2024-10-28,Not Available,LFI,521101.py
CVE-2025-30102,Exploit Variant 2,This is a simulated description of vulnerability number 2.,Product_Y2,7.6,No,2024-09-18,Unknown,RCE,521102.py
CVE-2025-30103,Exploit Variant 3,This is a simulated description of vulnerability number 3.,Product_Z1,5.4,Yes,2024-08-24,Available,Privilege Escalation,521103.py
CVE-2025-30104,Exploit Variant 4,This is a simulated description of vulnerability number 4.,Product_Z1,5.8,No,2025-02-10,Unknown,RCE,521104.py
CVE-2025-30105,Exploit Variant 5,This is a simulated description of vulnerability number 5.,Product_X3,9.6,No,2024-09-15,Unknown,SQLi,521105.py
CVE-2025-30106,Exploit Variant 6,This is a simulated description of vulnerability number 6.,Product_X3,7.6,No,2025-02-24,Available,XSS,521106.py
CVE-2025-30107,Exploit Variant 7,This is a simulated description of vulnerability number 7.,Product_Z3,9.3,No,2025-02-28,Not Available,XSS,521107.py
CVE-2025-30108,Exploit Variant 8,This is a simulated description of vulnerability number 8.,Product_Z2,5.4,No,2025-03-19,Not Available,LFI,521108.py
CVE-2025-30109,Exploit Variant 9,This is a simulated description of vulnerability number 9.,Product_Z5,9.2,Yes,2024-06-07,Available,SQLi,521109.py
CVE-2025-30110,Exploit Variant 10,This is a simulated description of vulnerability number 10.,Product_Y4,5.9,No,2024-12-27,Available,LFI,521110.py
CVE-2025-30111,Exploit Variant 11,This is a simulated description of vulnerability number 11.,Product_Z1,7.3,Yes,2024-05-21,Available,Privilege Escalation,521111.py
CVE-2025-30112,Exploit Variant 12,This is a simulated description of vulnerability number 12.,Product_Z5,7.0,No,2024-10-01,Available,Privilege Escalation,521112.py
CVE-2025-30113,Exploit Variant 13,This is a simulated description of vulnerability number 13.,Product_Z4,8.3,Yes,2024-10-07,Available,RCE,521113.py
CVE-2025-30114,Exploit Variant 14,This is a simulated description of vulnerability number 14.,Product_Y1,5.1,Yes,2024-05-18,Available,LFI,521114.py
CVE-2025-30115,Exploit Variant 15,This is a simulated description of vulnerability number 15.,Product_X5,8.7,Yes,2024-06-30,Available,XSS,521115.py
CVE-2025-30116,Exploit Variant 16,This is a simulated description of vulnerability number 16.,Product_Z2,9.5,Yes,2024-04-10,Not Available,Privilege Escalation,521116.py
CVE-2025-30117,Exploit Variant 17,This is a simulated description of vulnerability number 17.,Product_X4,8.2,Yes,2024-12-19,Available,SQLi,521117.py
CVE-2025-30118,Exploit Variant 18,This is a simulated description of vulnerability number 18.,Product_X5,7.3,Yes,2024-04-03,Available,Privilege Escalation,521118.py
CVE-2025-30119,Exploit Variant 19,This is a simulated description of vulnerability number 19.,Product_X1,6.4,Yes,2024-12-03,Not Available,Privilege Escalation,521119.py
CVE-2025-3100,Exploit Variant 7 Clone 0,This is a simulated description of vulnerability number 7.,Product_Z3,8.4,No,2024-06-27,Not Available,XSS,auto_0.py
CVE-2025-3101,Exploit Variant 4 Clone 1,This is a simulated description of vulnerability number 4.,Product_Z1,6.1,No,2024-10-20,Unknown,RCE,auto_1.py
CVE-2025-3102,Exploit Variant 13 Clone 2,This is a simulated description of vulnerability number 13.,Product_Z4,8.3,Yes,2025-02-25,Available,RCE,auto_2.py
CVE-2025-3103,Exploit Variant 6 Clone 3,This is a simulated description of vulnerability number 6.,Product_X3,8.5,No,2024-11-18,Available,XSS,auto_3.py
CVE-2025-3104,Exploit Variant 19 Clone 4,This is a simulated description of vulnerability number 19.,Product_X1,6.1,Yes,2024-04-04,Not Available,Privilege Escalation,auto_4.py
CVE-2025-3105,Exploit Variant 1 Clone 5,This is a simulated description of vulnerability number 1.,Product_Y4,8.5,Yes,2025-03-05,Not Available,LFI,auto_5.py
CVE-2025-3106,Exploit Variant 7 Clone 6,This is a simulated description of vulnerability number 7.,Product_Z3,10.0,No,2024-08-18,Not Available,XSS,auto_6.py
CVE-2025-3107,Exploit Variant 13 Clone 7,This is a simulated description of vulnerability number 13.,Product_Z4,7.7,Yes,2024-06-26,Available,RCE,auto_7.py
CVE-2025-3108,Exploit Variant 9 Clone 8,This is a simulated description of vulnerability number 9.,Product_Z5,8.9,Yes,2024-08-31,Available,SQLi,auto_8.py
CVE-2025-3109,Exploit Variant 15 Clone 9,This is a simulated description of vulnerability number 15.,Product_X5,7.9,Yes,2025-01-12,Available,XSS,auto_9.py
CVE-2025-3110,Exploit Variant 14 Clone 10,This is a simulated description of vulnerability number 14.,Product_Y1,6.0,Yes,2024-12-30,Available,LFI,auto_10.py
CVE-2025-3111,Exploit Variant 8 Clone 11,This is a simulated description of vulnerability number 8.,Product_Z2,4.6,No,2024-10-20,Not Available,LFI,auto_11.py
CVE-2025-3112,Exploit Variant 9 Clone 12,This is a simulated description of vulnerability number 9.,Product_Z5,8.6,Yes,2024-06-17,Available,SQLi,auto_12.py
CVE-2025-3113,Exploit Variant 15 Clone 13,This is a simulated description of vulnerability number 15.,Product_X5,8.5,Yes,2024-08-19,Available,XSS,auto_13.py
CVE-2025-3114,Exploit Variant 13 Clone 14,This is a simulated description of vulnerability number 13.,Product_Z4,9.1,Yes,2024-04-06,Available,RCE,auto_14.py
CVE-2025-3115,Exploit Variant 6 Clone 15,This is a simulated description of vulnerability number 6.,Product_X3,6.7,No,2025-02-25,Available,XSS,auto_15.py
CVE-2025-3116,Exploit Variant 18 Clone 16,This is a simulated description of vulnerability number 18.,Product_X5,7.8,Yes,2024-04-05,Available,Privilege Escalation,auto_16.py
CVE-2025-3117,Exploit Variant 8 Clone 17,This is a simulated description of vulnerability number 8.,Product_Z2,5.3,No,2024-10-16,Not Available,LFI,auto_17.py
